tissue	outcome	avi_quintile	tested	observed	expected	observed_expected	ci_low	ci_high
Brain_Amygdala	finemapped	2	1778869	43	62.282	0.690408	0.474139	0.929777
Brain_Amygdala	finemapped	3	1808786	112	125.592	0.891777	0.72345	1.06997
Brain_Amygdala	finemapped	4	1984470	233	231.94	1.00457	0.888053	1.12237
Brain_Amygdala	finemapped	5	1724480	427	390.235	1.09421	1.01624	1.16982
Brain_Anterior_cingulate_cortex_BA24	eqtl	1	1938697	12918	20589.5	0.627406	0.433914	0.844077
Brain_Anterior_cingulate_cortex_BA24	eqtl	2	1777349	22950	36313.3	0.632	0.511722	0.746981
Brain_Anterior_cingulate_cortex_BA24	eqtl	3	1810135	53323	53810	0.990949	0.809474	1.16158
Brain_Anterior_cingulate_cortex_BA24	eqtl	4	1984470	98463	84811.5	1.16096	1.08712	1.231
Brain_Anterior_cingulate_cortex_BA24	eqtl	5	1724480	122769	114899	1.0685	0.972144	1.17494
Brain_Anterior_cingulate_cortex_BA24	lead	1	1938697	200	277.626	0.720394	0.633655	0.817074
Brain_Anterior_cingulate_cortex_BA24	lead	2	1777349	336	498.807	0.673608	0.591781	0.758083
Brain_Anterior_cingulate_cortex_BA24	lead	3	1810135	686	779.774	0.879742	0.813323	0.944623
Brain_Anterior_cingulate_cortex_BA24	lead	4	1984470	1313	1274.54	1.03017	0.977907	1.08341
Brain_Anterior_cingulate_cortex_BA24	lead	5	1724480	2150	1854.25	1.1595	1.11783	1.19843
Brain_Anterior_cingulate_cortex_BA24	finemapped	1	1938697	23	36.7231	0.626309	0.39202	0.909373
Brain_Anterior_cingulate_cortex_BA24	finemapped	2	1777349	63	92.3234	0.682384	0.492664	0.884262
Brain_Anterior_cingulate_cortex_BA24	finemapped	3	1810135	178	186.459	0.954632	0.808215	1.1161
Brain_Anterior_cingulate_cortex_BA24	finemapped	4	1984470	360	349.007	1.0315	0.936167	1.13922
Brain_Anterior_cingulate_cortex_BA24	finemapped	5	1724480	631	590.488	1.06861	1.00103	1.13002
Brain_Caudate_basal_ganglia	eqtl	1	1933081	24457	35576.5	0.687448	0.534617	0.862934
Brain_Caudate_basal_ganglia	eqtl	2	1778371	40205	62983	0.638347	0.548313	0.73456
Brain_Caudate_basal_ganglia	eqtl	3	1811250	84158	90887	0.925963	0.802613	1.0532
Brain_Caudate_basal_ganglia	eqtl	4	1985725	164072	139572	1.17553	1.1194	1.22882
Brain_Caudate_basal_ganglia	eqtl	5	1724656	197132	181005	1.0891	1.01228	1.17191
Brain_Caudate_basal_ganglia	lead	1	1933081	261	410.269	0.636167	0.557304	0.714164
Brain_Caudate_basal_ganglia	lead	2	1778371	518	752.967	0.687945	0.620797	0.758408
Brain_Caudate_basal_ganglia	lead	3	1811250	963	1163.29	0.827826	0.771749	0.88464
Brain_Caudate_basal_ganglia	lead	4	1985725	1961	1899.28	1.0325	0.987676	1.07634
Brain_Caudate_basal_ganglia	lead	5	1724656	3240	2717.2	1.19241	1.15677	1.22922
Brain_Caudate_basal_ganglia	finemapped	1	1933081	52	79.9318	0.650555	0.469949	0.83205
