y	variant	y_transform	x_model	x_plot	fit_model_space	ci_lo_model_space	ci_hi_model_space	fit_y_units	ci_lo_y_units	ci_hi_y_units
avi_top1_per_kb	A_raw_x	raw	1530.02	1530.02	38.6377	37.0553	40.22	38.6377	37.0553	40.22
avi_top1_per_kb	A_raw_x	raw	1542.76	1542.76	38.7167	37.1194	40.314	38.7167	37.1194	40.314
avi_top1_per_kb	A_raw_x	raw	1555.51	1555.51	38.7957	37.1835	40.408	38.7957	37.1835	40.408
avi_top1_per_kb	A_raw_x	raw	1568.25	1568.25	38.8748	37.2475	40.502	38.8748	37.2475	40.502
avi_top1_per_kb	A_raw_x	raw	1580.99	1580.99	38.9538	37.3116	40.596	38.9538	37.3116	40.596
avi_top1_per_kb	A_raw_x	raw	1593.73	1593.73	39.0328	37.3756	40.69	39.0328	37.3756	40.69
avi_top1_per_kb	A_raw_x	raw	1606.47	1606.47	39.1119	37.4396	40.7841	39.1119	37.4396	40.7841
avi_top1_per_kb	A_raw_x	raw	1619.22	1619.22	39.1909	37.5037	40.8781	39.1909	37.5037	40.8781
avi_top1_per_kb	A_raw_x	raw	1631.96	1631.96	39.2699	37.5677	40.9722	39.2699	37.5677	40.9722
avi_top1_per_kb	A_raw_x	raw	1644.7	1644.7	39.349	37.6317	41.0662	39.349	37.6317	41.0662
avi_top1_per_kb	A_raw_x	raw	1657.44	1657.44	39.428	37.6957	41.1603	39.428	37.6957	41.1603
avi_top1_per_kb	A_raw_x	raw	1670.18	1670.18	39.507	37.7597	41.2544	39.507	37.7597	41.2544
avi_top1_per_kb	A_raw_x	raw	1682.92	1682.92	39.5861	37.8237	41.3485	39.5861	37.8237	41.3485
avi_top1_per_kb	A_raw_x	raw	1695.67	1695.67	39.6651	37.8876	41.4426	39.6651	37.8876	41.4426
avi_top1_per_kb	A_raw_x	raw	1708.41	1708.41	39.7441	37.9516	41.5367	39.7441	37.9516	41.5367
avi_top1_per_kb	A_raw_x	raw	1721.15	1721.15	39.8232	38.0155	41.6308	39.8232	38.0155	41.6308
avi_top1_per_kb	A_raw_x	raw	1733.89	1733.89	39.9022	38.0795	41.7249	39.9022	38.0795	41.7249
avi_top1_per_kb	A_raw_x	raw	1746.63	1746.63	39.9813	38.1434	41.8191	39.9813	38.1434	41.8191
avi_top1_per_kb	A_raw_x	raw	1759.38	1759.38	40.0603	38.2074	41.9132	40.0603	38.2074	41.9132
